File,ID
C:/Users/lieve/OneDrive/Uni/Aerospace Master/1. Semester/Aerospace Strcutures/Assignment 2/AerospaceStructures_Assignment2/Analysis/Anal3.op2,2
Loadcase,ID,Step,ID
SUBCASE 1 = LC1 ,1,Simulation 1,0
SUBCASE 2 = LC2 ,2,Simulation 1,0
1D Stress:CBAR Axial
System=,Aggregation Mode=none
method=Results Query

Elements,FileID,Loadcase,Step,1D Stress:CBAR Axial,
37,2,1,0,-77.193328857422
38,2,1,0,-70.152366638184
39,2,1,0,-77.632270812988
40,2,1,0,-78.595245361328
41,2,1,0,-79.893333435059
42,2,1,0,-78.585144042969
43,2,1,0,-64.899032592773
44,2,1,0,-67.081794738770
45,2,1,0,-64.890228271484
46,2,1,0,-76.924804687500
47,2,1,0,-75.084403991699
48,2,1,0,-76.934082031250
49,2,1,0,-64.971992492676
50,2,1,0,-67.235115051270
51,2,1,0,-64.976150512695
52,2,1,0,-76.922080993652
53,2,1,0,-74.906074523926
54,2,1,0,-76.916038513184
55,2,1,0,-63.617012023926
56,2,1,0,-64.683311462402
57,2,1,0,-63.662330627441
58,2,1,0,-62.664127349854
59,2,1,0,-64.380798339844
60,2,1,0,-62.695827484131
61,2,1,0,-59.872959136963
62,2,1,0,-54.455497741699
63,2,1,0,-59.475353240967
37,2,2,0,-24.598831176758
38,2,2,0,-23.084012985229
39,2,2,0,-26.334518432617
40,2,2,0,-25.877956390381
41,2,2,0,-26.290269851685
42,2,2,0,-25.838405609131
43,2,2,0,-21.373195648193
44,2,2,0,-22.069049835205
45,2,2,0,-21.334709167480
46,2,2,0,-25.295486450195
47,2,2,0,-24.705415725708
48,2,2,0,-25.330411911011
49,2,2,0,-21.371265411377
50,2,2,0,-22.123216629028
51,2,2,0,-21.386774063110
52,2,2,0,-25.319332122803
53,2,2,0,-24.646968841553
54,2,2,0,-25.298536300659
55,2,2,0,-20.848794937134
56,2,2,0,-21.282642364502
57,2,2,0,-21.029767990112
58,2,2,0,-20.561630249023
59,2,2,0,-21.182891845703
60,2,2,0,-20.685096740723
61,2,2,0,-20.420379638672
62,2,2,0,-17.917369842529
63,2,2,0,-18.848958969116
