stringer_id,section,combined_axial_case1_mpa,critical_stress_mpa,ultimate_load_factor_times_abs_stress_case1_mpa,rf_case1,combined_axial_case2_mpa,ultimate_load_factor_times_abs_stress_case2_mpa,rf_case2
1,T-section,-68.53707958115898,116.81523938084224,102.80561937173846,1.1362729011771808,-22.55062284959625,33.82593427439438,3.4534224075894713
2,T-section,-75.70906872051997,116.81523938084224,113.56360308077996,1.028632732775741,-24.910967697425033,37.36645154613755,3.1262063842644183
3,Omega-section,-75.24540159471834,117.907729441462,112.86810239207752,1.0446505872126564,-24.758037136397153,37.13705570459573,3.174934770794736
4,T-section,-75.58550920850834,116.81523938084224,113.37826381276251,1.0303142370724223,-24.869978260145785,37.30496739021868,3.131358839130659
5,Omega-section,-74.92962877452777,117.907729441462,112.39444316179166,1.0490530147627848,-24.654295833266346,36.98144374989952,3.1882943845798977
6,T-section,-75.5560038771397,116.81523938084224,113.33400581570956,1.0307165844891555,-24.86044907852603,37.29067361778905,3.1325591105738835
7,Omega-section,-76.4238734117472,117.907729441462,114.63581011762079,1.0285418607020274,-25.145979617108726,37.71896942566309,3.1259531009678216
8,Omega-section,-78.54876694729624,117.907729441462,117.82315042094436,1.0007178472160647,-25.84508223008113,38.76762334512169,3.0413968994645337
9,Omega-section,-70.67446780727697,117.907729441462,106.01170171091545,1.1122142889752489,-23.254098556501937,34.88114783475291,3.38027091310303
