element_id,xx_case1,xx_case2,xy_case1,xy_case2,yy_case1,yy_case2,axial_case1,axial_case2
1,-66.018310546875,-24.851123809814,35.700485229492,154.150863647461,22.835590362549,7.422191143036,0.0,0.0
2,-81.946876525879,-26.961479187012,39.506675720215,155.99169921875,25.815797805786,8.493500709534,0.0,0.0
3,-64.293273925781,-18.02898979187,42.991039276123,156.552841186523,22.887508392334,7.624883174896,0.0,0.0
4,-92.856269836426,-30.058336257935,41.965156555176,154.206451416016,21.547241210938,7.111361503601,0.0,0.0
5,-88.389511108398,-29.08129119873,39.516235351563,156.028991699219,28.453758239746,9.362609863281,0.0,0.0
6,-93.128509521484,-31.139553070068,35.616325378418,152.116775512695,21.537899017334,7.066608428955,0.0,0.0
7,-93.245849609375,-30.731060028076,38.290328979492,153.474243164063,23.219207763672,7.619117259979,0.0,0.0
8,-93.924682617188,-30.9045753479,39.561309814453,156.201950073242,25.086650848389,8.254512786865,0.0,0.0
9,-93.216644287109,-30.620691299438,39.555633544922,153.889846801758,23.232315063477,7.663548469543,0.0,0.0
10,-93.186965942383,-30.660861968994,40.711818695068,154.298645019531,23.774492263794,7.835412979126,0.0,0.0
11,-93.291259765625,-30.69649887085,39.570449829102,156.237487792969,23.994823455811,7.894620418549,0.0,0.0
12,-93.18717956543,-30.660358428955,37.149223327637,153.126373291016,23.768978118896,7.807636260986,0.0,0.0
13,-92.898559570313,-30.570159912109,37.40843963623,153.205978393555,23.865177154541,7.835347175598,0.0,0.0
14,-92.667808532715,-30.490306854248,39.568588256836,156.230697631836,23.797674179077,7.829927444458,0.0,0.0
15,-92.896865844727,-30.562097549438,40.449855804443,154.207321166992,23.875495910645,7.872792243958,0.0,0.0
16,-92.848129272461,-30.543502807617,40.720569610596,154.296722412109,23.997720718384,7.911756515503,0.0,0.0
17,-92.417121887207,-30.408023834229,39.567314147949,156.226409912109,23.551530838013,7.749122142792,0.0,0.0
18,-92.851898193359,-30.557907104492,37.138153076172,153.118240356445,23.989143371582,7.877326965332,0.0,0.0
19,-93.090263366699,-30.627380371094,37.504486083984,153.255065917969,24.308460235596,7.979604244232,0.0,0.0
20,-94.090789794922,-30.959032058716,39.566421508789,156.223602294922,22.911554336548,7.538569450378,0.0,0.0
21,-93.092025756836,-30.632949829102,40.363136291504,154.195861816406,24.318344116211,8.019827842712,0.0,0.0
22,-97.236541748047,-31.96498298645,38.134651184082,153.996170043945,23.155208587646,7.610818862915,0.0,0.0
23,-98.803466796875,-32.509754180908,39.634330749512,156.491683959961,25.223894119263,8.299458503723,0.0,0.0
24,-97.252830505371,-32.028762817383,40.027652740479,154.619201660156,23.159313201904,7.628137588501,0.0,0.0
25,-102.143157958984,-34.132816314697,35.547019958496,153.152587890625,20.297142028809,6.663730144501,0.0,0.0
26,-95.446380615234,-31.40503692627,39.685897827148,156.695556640625,30.936164855957,10.178977966309,0.0,0.0
27,-101.853057861328,-32.988716125488,42.619522094727,155.479553222656,20.305149078369,6.695796012878,0.0,0.0
28,-68.13045501709,-19.341850280762,44.374160766602,157.5244140625,22.243989944458,7.425276756287,0.0,0.0
29,-85.820945739746,-28.237865447998,39.5920753479,156.324859619141,27.109157562256,8.919726371765,0.0,0.0
30,-69.829574584961,-26.050830841064,34.603469848633,154.309539794922,22.185211181641,7.193183898926,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,-84.510917663574,-26.74822807312
38,0.0,0.0,0.0,0.0,0.0,0.0,-76.450065612793,-25.156949996948
39,0.0,0.0,0.0,0.0,0.0,0.0,-85.092254638672,-29.045667648315
40,0.0,0.0,0.0,0.0,0.0,0.0,-85.122329711914,-28.03297996521
41,0.0,0.0,0.0,0.0,0.0,0.0,-88.499740600586,-29.122882843018
42,0.0,0.0,0.0,0.0,0.0,0.0,-85.10782623291,-27.97695350647
43,0.0,0.0,0.0,0.0,0.0,0.0,-73.137466430664,-24.112689971924
44,0.0,0.0,0.0,0.0,0.0,0.0,-73.509140014648,-24.182792663574
45,0.0,0.0,0.0,0.0,0.0,0.0,-73.11319732666,-24.012451171875
46,0.0,0.0,0.0,0.0,0.0,0.0,-83.890106201172,-27.580795288086
47,0.0,0.0,0.0,0.0,0.0,0.0,-84.565605163574,-27.824998855591
48,0.0,0.0,0.0,0.0,0.0,0.0,-83.903129577637,-27.630136489868
49,0.0,0.0,0.0,0.0,0.0,0.0,-73.250267028809,-24.097608566284
50,0.0,0.0,0.0,0.0,0.0,0.0,-73.620880126953,-24.224504470825
51,0.0,0.0,0.0,0.0,0.0,0.0,-73.252998352051,-24.107849121094
