panel_id,xx_case1,yy_case1,xy_case1,k_tau,k_biax_case1,sigma_e_mpa,sigma_cr_biax_case1_mpa,main_compression_case1_mpa,compression_ratio_case1,biaxial_interaction_case1,shear_interaction_case1,rf_case1,xx_case2,yy_case2,xy_case2,k_biax_case2,sigma_cr_biax_case2_mpa,main_compression_case2_mpa,compression_ratio_case2,biaxial_interaction_case2,shear_interaction_case2,rf_case2
1,-59.273877461751326,18.600114186605,30.783566792806003,5.7844444444444445,5.270603803022264,38.154207551702044,201.0957114233016,59.273877461751326,-0.31379951815380086,0.44213183644414905,0.20922140083929106,2.0580136301720393,-19.503446261088,6.120550473531,121.54631296793634,5.270673660165484,201.09837676724297,19.503446261088,-0.31381892162014063,0.14547690469671357,0.8260930267491109,1.207865727610513
2,-73.04706064860034,18.600113550822,30.560599644979003,5.7844444444444445,5.065863758536351,38.154207551702044,193.28401727184135,73.04706064860034,-0.2546319233883972,0.5668890398671538,0.20770599817905064,1.6392614351264068,-24.035125096638996,6.12055460612,120.66644032796233,5.0659252644883805,193.28636398270075,24.035125096638996,-0.2546504160686012,0.18652473408928752,0.8201129469378737,1.1639953247946027
3,-73.62060546875,18.599923451741333,30.633467356364,5.7844444444444445,5.059266070239923,38.154207551702044,193.032287703218,73.62060546875,-0.25264561916210415,0.5720851652181089,0.20820124568414108,1.6248724452802714,-24.223551432291668,6.1196589469910005,120.95192464192701,5.0592229055366555,193.03064078817061,24.223551432291668,-0.2526326069113496,0.18823605931201062,0.8220532493234729,1.1573972211929222
4,-73.478520711263,18.599951426188,30.637214024861667,5.7844444444444445,5.060888464710538,38.154207551702044,193.09418887858055,73.478520711263,-0.2531345384493695,0.5707980219756923,0.20822671002480175,1.6282497826962028,-24.176481882731334,6.1197859446209995,120.96693929036466,5.060872450539252,193.09357787056555,24.176481882731334,-0.2531297140049236,0.18780905726655478,0.8221552968152525,1.1577445611851498
5,-73.25218709309866,18.59997113545733,30.636516571044996,5.7844444444444445,5.063486892840756,38.154207551702044,193.1933298447691,73.25218709309866,-0.2539169391873311,0.5687477964582691,0.20822196975979196,1.6337088101377926,-24.102127075195334,6.1198933919269995,120.964111328125,5.063480696865506,193.19309344224342,24.102127075195334,-0.2539150745008426,0.18713500554615464,0.8221360764882096,1.1586911757959784
6,-73.18968200683634,18.599982579549,30.636320749918998,5.7844444444444445,5.064208060838437,38.154207551702044,193.22084543823226,73.18968200683634,-0.25413394442418336,0.5681815684082068,0.20822063885585315,1.6352229566556165,-24.081757227579665,6.119938532511333,120.96351114908866,5.064200687801599,193.22056412585445,24.081757227579665,-0.2541317261309513,0.18695026590358663,0.822131997354054,1.1589482626879486
7,-73.65332794189467,18.599974314371664,30.637740453084334,5.7844444444444445,5.058896043073907,38.154207551702044,193.01816960992605,73.65332794189467,-0.2525340651144133,0.5723813055325986,0.2082302879094221,1.6240590489408646,-24.234440485636338,6.119883696238333,120.96950785319001,5.058877145845331,193.01744860114482,24.234440485636338,-0.2525283676289356,0.18833354700264593,0.8221727541266837,1.157003548046308
8,-76.179796854655,18.599989573160663,30.716664632161333,5.7844444444444445,5.031269783148089,38.154207551702044,191.9641115548391,76.179796854655,-0.244159086019197,0.5952659294304532,0.20876669837211223,1.5653139850563038,-25.065788904825997,6.119986693064001,121.28137461344433,5.03126279194466,191.96384481101245,25.065788904825997,-0.24415695497562018,0.19586335851032122,0.8242923655705033,1.1424376887671566
9,-77.95729319254568,18.599996566772333,30.723674774169996,5.7844444444444445,5.013072587879022,38.154207551702044,191.26981198968429,77.95729319254568,-0.23859212916529118,0.611366417796893,0.20881434300475038,1.5267878416099367,-25.650537490845,6.120011011759333,121.309117635091,5.013071909528566,191.2697861077602,25.650537490845,-0.2385919208883495,0.20115987485127668,0.8244809218184358,1.1351656943373805
10,-61.53027089436866,18.599970499674335,30.864727656046668,5.7844444444444445,5.229489675554291,38.154207551702044,199.52703447058138,61.53027089436866,-0.3022897547713646,0.46257093223706075,0.20977301299050238,1.9740388262785675,-20.245260874430333,6.119926293690667,121.86581166585302,5.229488161007643,199.52697668425424,20.245260874430333,-0.30228932744552106,0.1521994259438002,0.8282645088776885,1.1930020561701011
