element_id,von_mises_case1_mpa,von_mises_case2_mpa,axial_abs_case1_mpa,axial_abs_case2_mpa,rf_case1,rf_case2
1,82.46024517851052,210.2392045823462,0.0,0.0,4.299283845597749,1.6862696979104206
2,96.17564889063668,212.69954232235574,0.0,0.0,3.6861721661283724,1.6667642822790325
3,86.82142596312875,212.51125557270848,0.0,0.0,4.083323857760148,1.6682410493721107
4,101.09509372343494,210.86120050715246,0.0,0.0,3.506797283059627,1.6812955591039358
5,99.30721043816087,213.01136774138743,0.0,0.0,3.569932117071816,1.6643243210870096
6,97.38660194207793,208.5806945437061,0.0,0.0,3.6403364829471703,1.6996779149458328
7,99.0356102572157,210.26561298449468,0.0,0.0,3.5797224763823756,1.6860579101260027
8,100.74554899361142,213.19003997082646,0.0,0.0,3.5189643963574126,1.662929469165227
9,99.47826685565688,210.53591159610946,0.0,0.0,3.5637934918428873,1.683893248008485
10,100.33110116263424,210.94995613325753,0.0,0.0,3.5335005386348923,1.6805881664940898
11,99.93583844208489,213.17502348902408,0.0,0.0,3.5474761159426556,1.6630466092959217
12,98.66476571880365,209.92582466699156,0.0,0.0,3.593177335568691,1.6887869825562447
13,98.65980040220198,209.98615847691758,0.0,0.0,3.5933581717654426,1.6883017555605697
14,99.61033646878838,213.15634847962858,0.0,0.0,3.5590683915728394,1.6631923117874277
15,100.09166137840418,210.86510644107244,0.0,0.0,3.541953396694156,1.6812644158319896
16,100.27295192863409,210.96070508435852,0.0,0.0,3.5355496490451155,1.6805025365185202
17,99.40460201519898,213.1416722288875,0.0,0.0,3.566434479017318,1.663306833866302
18,98.53511516096148,209.89447381294903,0.0,0.0,3.59790516731904,1.6890392279500241
19,98.97649060457768,210.04341733070487,0.0,0.0,3.5818606805968467,1.68784151631766
20,100.05147779610773,213.1626506204204,0.0,0.0,3.543375948154079,1.6631431396079568
21,100.33698918073065,210.8805606200515,0.0,0.0,3.5332931842455984,1.6811412059869617
22,100.73898821799155,210.83359077038344,0.0,0.0,3.5191935741189453,1.6815157333543869
23,103.26818041329955,213.629527188825,0.0,0.0,3.433003259872899,1.659508424070252
24,101.89747137808628,211.55589969327679,0.0,0.0,3.4791834891031637,1.675774584939484
25,101.52198572611607,209.9645783181214,0.0,0.0,3.4920514750018463,1.6884752792104765
26,103.61159260232499,213.93897847100988,0.0,0.0,3.4216248500367588,1.657108033952961
27,105.50678747333654,212.50152639536552,0.0,0.0,3.3601629666678416,1.6683174281788677
28,89.22973004162242,213.6446742578612,0.0,0.0,3.97311523675606,1.659390767551301
29,98.51246456847052,213.1597992195862,0.0,0.0,3.5987324198309234,1.6631653871788075
30,83.3557241682807,210.53983460846615,0.0,0.0,4.253097235221492,1.6838618718366951
37,0.0,0.0,77.106147766113,24.57165145874,4.597817557626789,14.428008658485965
38,0.0,0.0,69.912200927734,23.004989624023,5.070931758627595,15.41056987175477
39,0.0,0.0,77.544250488281,26.304050445557,4.571841210246496,13.47777220598669
40,0.0,0.0,79.134490966797,26.089017868042,4.479968161401939,13.58885956509205
41,0.0,0.0,81.155303955078,26.70548248291,4.368414419299544,13.275176744208713
42,0.0,0.0,79.105842590332,25.976039886475,4.481590592947278,13.647961796693602
43,0.0,0.0,73.141799926758,24.086357116699,4.847023184485556,14.718705625858728
44,0.0,0.0,74.407356262207,24.479249954224,4.7645826677498535,14.482469873993262
45,0.0,0.0,73.132652282715,24.045959472656,4.847629464189299,14.743433315819415
46,0.0,0.0,77.943534851074,25.633121490479,4.548420862325247,13.830543429198844
47,0.0,0.0,77.529563903809,25.509956359863,4.572707263513738,13.897318952603017
48,0.0,0.0,77.951461791992,25.662685394287,4.547958330095358,13.814610378963803
49,0.0,0.0,73.147270202637,24.064035415649,4.8466607026877035,14.732358637132545
50,0.0,0.0,74.379005432129,24.473922729492,4.766398769925745,14.485622264909336
51,0.0,0.0,73.149925231934,24.073514938354,4.8464847896417576,14.726557418301123
52,0.0,0.0,77.905708312988,25.644149780273,4.550629314295015,13.824595591495015
53,0.0,0.0,77.206527709961,25.403894424438,4.591839712463337,13.955340629150125
54,0.0,0.0,77.89900970459,25.620794296265,4.5510206271481115,13.837197859696408
55,0.0,0.0,72.21704864502,23.720523834229,4.909090120016241,14.945707037397858
56,0.0,0.0,72.788352966309,23.949373245239,4.870559444642111,14.802892600560083
57,0.0,0.0,72.238983154297,23.809623718262,4.907599533104889,14.889777520006874
58,0.0,0.0,71.756706237793,23.539012908936,4.940583515987535,15.060954398194635
59,0.0,0.0,73.830055236816,24.291902542114,4.801838477065307,14.594163605974519
60,0.0,0.0,71.796424865723,23.693738937378,4.937850326991068,14.962602607253675
61,0.0,0.0,67.72957611084,23.025346755981,5.234345471464714,15.396945103895595
62,0.0,0.0,61.383796691895,20.196949005127,5.775465499135704,17.553146265309923
63,0.0,0.0,67.321075439453,21.410535812378,5.266107198760468,16.55820307846021
