stringer_id,name,area_mm2,second_moment_mm4,radius_of_gyration_mm,slenderness,crippling_cutoff_mpa,transition_slenderness,euler_johnson_critical_mpa,euler_critical_mpa
1,T-section,1304.2,124656.32338853959,9.77653724016467,61.371422750279834,362.8155234661407,59.76105665571706,172.01250381677613,172.01250381677613
2,T-section,1304.2,124656.32338853959,9.77653724016467,61.371422750279834,362.8155234661407,59.76105665571706,172.01250381677613,172.01250381677613
3,Omega-section,1242.88,69653.87557267422,7.486141696402191,80.14809555212635,491.79,51.33001028308949,100.85698607133045,100.85698607133045
4,T-section,1304.2,124656.32338853959,9.77653724016467,61.371422750279834,362.8155234661407,59.76105665571706,172.01250381677613,172.01250381677613
5,Omega-section,1242.88,69653.87557267422,7.486141696402191,80.14809555212635,491.79,51.33001028308949,100.85698607133045,100.85698607133045
6,T-section,1304.2,124656.32338853959,9.77653724016467,61.371422750279834,362.8155234661407,59.76105665571706,172.01250381677613,172.01250381677613
7,Omega-section,1242.88,69653.87557267422,7.486141696402191,80.14809555212635,491.79,51.33001028308949,100.85698607133045,100.85698607133045
8,Omega-section,1242.88,69653.87557267422,7.486141696402191,80.14809555212635,491.79,51.33001028308949,100.85698607133045,100.85698607133045
9,Omega-section,1242.88,69653.87557267422,7.486141696402191,80.14809555212635,491.79,51.33001028308949,100.85698607133045,100.85698607133045
