panel_id,element_ids,volume_mm3,xx_case1,xx_case2,xy_case1,xy_case2,yy_case1,yy_case2
1,"(1, 2, 3)",600000.0,-59.273871103922666,-19.503439267476335,30.783568700154667,121.54631296793632,18.600114822387667,6.120551586151
2,"(4, 5, 6)",600000.0,-73.04706827799501,-24.035124460856,30.560602188110334,120.66643778483068,18.600114186604998,6.120553970336999
3,"(7, 8, 9)",600000.0,-73.62062072753933,-24.223545710245666,30.633468627929997,120.95192972819001,18.599922180175334,6.119655768076666
4,"(10, 11, 12)",600000.0,-73.478510538737,-24.176483154296665,30.637212117512995,120.96693674723332,18.599953969319667,6.119792938232333
5,"(13, 14, 15)",600000.0,-73.25219726562466,-24.102121353149332,30.636519114176334,120.96410369873034,18.599970499674335,6.119890371958334
6,"(16, 17, 18)",600000.0,-73.18968454996767,-24.081758499145334,30.63631884257,120.963508605957,18.599983215332,6.119937737782999
7,"(19, 20, 21)",600000.0,-73.653325398763,-24.234447479248,30.63773918151833,120.96951293945332,18.599974950155,6.119886398315334
8,"(22, 23, 24)",600000.0,-76.17979431152334,-25.065786997477,30.71666208903,121.281364440918,18.599988937377667,6.119985898336
9,"(25, 26, 27)",600000.0,-77.957290649414,-25.65053176879867,30.723674774169996,121.309117635091,18.599996566772333,6.120010217030666
10,"(28, 29, 30)",600000.0,-61.530278523762995,-20.245257695516,30.864728291829334,121.86580403645833,18.599972407023333,6.119933446248334
