stringer_id,element_ids,volume_mm3,axial_case1,axial_case2
1,"(37, 38, 39)",187200.0,-66.78378168741865,-21.97169939676933
2,"(40, 41, 42)",187200.0,-71.75319163004568,-23.609671274821004
3,"(43, 44, 45)",145728.0,-71.32002258300766,-23.466622034708667
4,"(46, 47, 48)",187200.0,-70.637301127116,-23.242434819539334
5,"(49, 50, 51)",145728.0,-71.27652486165366,-23.452873229980334
6,"(52, 53, 54)",187200.0,-70.47504933675133,-23.188736597696668
7,"(55, 56, 57)",145728.0,-71.30314636230466,-23.460724512736004
8,"(58, 59, 60)",145728.0,-72.63363393147799,-23.898335774739667
9,"(61, 62, 63)",145728.0,-65.47956212361633,-21.544742584228334
